Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
2.61415127222e-05 Dabo, Indonesia
2.61415127222e-05 Satar Tacik, Indonesia
2.61415127222e-05 Selaparang, Indonesia
2.61415127222e-05 Liepaja Intl, Latvia
2.61415127222e-05 Siauliai Intl, Lithuania
2.61415127222e-05 Barysiai, Lithuania
2.61415127222e-05 Pajuostis, Lithuania
2.61415127222e-05 Yasser Arafat Intl, Palestine
2.61415127222e-05 Beihan, Yemen
2.61415127222e-05 Wall Street Heliport, United States
2.61415127222e-05 Qasigiannguit, Greenland
2.61415127222e-05 Bimini North Seaplane Base, Bahamas
2.61415127222e-05 East 34th Street Heliport, United States
2.61415127222e-05 Cologne Railway, Germany
2.61415127222e-05 Stuttgart Railway Station, Germany
2.61415127222e-05 Seronera, Tanzania
2.61415127222e-05 Port O\\'Connor Airfield, United States
2.61415127222e-05 Van Nuys, United States
2.61415127222e-05 Arthur Dunn Airpark, United States
2.61415127222e-05 Panama City Bay Co Intl, United States
2.61415127222e-05 Nauru Intl, Nauru
2.61415127222e-05 Orlando, United States
2.61415127222e-05 Phu Bai, Vietnam
2.61415127222e-05 Ekati, Canada
2.61415127222e-05 Levuka Airfield, Fiji
2.61415127222e-05 Koromiko, New Zealand
2.61415127222e-05 Blythe Airport, United States
2.61415127222e-05 Magwe, Burma
2.61415127222e-05 Khamti, Burma
2.61415127222e-05 Manang, Nepal
2.61415127222e-05 Phaplu, Nepal
2.61415127222e-05 Rumjatar, Nepal
2.61415127222e-05 Tulsipur, Nepal
2.61415127222e-05 Jumla, Nepal
2.61415127222e-05 Chaurjhari, Nepal
2.61415127222e-05 Simikot, Nepal
2.61415127222e-05 Dolpa, Nepal
2.61415127222e-05 Bajhang, Nepal
2.61415127222e-05 Sonderlandeplatz Norden-Norddeich, Germany
2.61415127222e-05 Verkehrslandeplatz Juist, Germany
2.61415127222e-05 Gounda Airport, Central African Republic
2.61415127222e-05 Sugar Land Regional Airport, United States
2.61415127222e-05 Centennial, United States
2.61415127222e-05 Fort Stockton Pecos Co, United States
2.61415127222e-05 West Houston, United States
2.61415127222e-05 Stephens Co, United States
2.61415127222e-05 Athen Helenikon Airport, Greece
2.61415127222e-05 Waikoloa Heliport, United States
2.61415127222e-05 Aklavik, Canada
2.61415127222e-05 Cuyahoga County, United States
2.61415127222e-05 Mansfield Lahm Regional, United States
2.61415127222e-05 Fort Collins Loveland Muni, United States
2.61415127222e-05 Newport State, United States
2.61415127222e-05 Hartness State, United States
2.61415127222e-05 Concord Municipal, United States
2.61415127222e-05 Sanford Regional, United States
2.61415127222e-05 Bagan, Burma
2.61415127222e-05 Heydar Aliyev, Azerbaijan
2.61415127222e-05 Fagali\\'i, Samoa
2.61415127222e-05 Downtown, United States
2.61415127222e-05 Ratanakiri, Cambodia
2.61415127222e-05 El Toro, United States
2.61415127222e-05 Phetchabun, Thailand
2.61415127222e-05 Kaieteur, Guyana
2.61415127222e-05 Iosco County, United States
2.61415127222e-05 7 Novembre, Tunisia
2.61415127222e-05 General Manuel Carlos Piar, Venezuela
2.61415127222e-05 Ust-Ilimsk, Russia
2.61415127222e-05 Uzundzhovo, Bulgaria
2.61415127222e-05 Gallup Muni, United States
2.61415127222e-05 Lamar Muni, United States
2.61415127222e-05 Fornebu, Norway
2.61415127222e-05 Bykovo, Russia
2.61415127222e-05 Kresty, Russia
2.61415127222e-05 Kogalym International, Russia
2.61415127222e-05 Turkmenabat, Turkmenistan
2.61415127222e-05 Yuzhny, Russia
2.61415127222e-05 Johnston Atoll, Johnston Atoll
2.61415127222e-05 Smith Fld, United States
2.61415127222e-05 Tuscaloosa Rgnl, United States
2.61415127222e-05 St-François Airport, Guadeloupe
2.61415127222e-05 Maria Reiche Neuman Airport, Peru
2.61415127222e-05 Boorama Airport, Somalia
2.61415127222e-05 Mucuri Airport, Brazil
2.61415127222e-05 Zorg en Hoop Airport, Suriname
2.61415127222e-05 Reyes Airport, Bolivia
2.61415127222e-05 Puerto Rico Airport, Bolivia
2.61415127222e-05 Pucón Airport, Chile
2.61415127222e-05 Goulburn Airport, Australia
2.61415127222e-05 Santa Teresita Airport, Argentina
2.61415127222e-05 Gobernador Gregores Airport, Argentina
2.61415127222e-05 Antoine De St Exupery Airport, Argentina
2.61415127222e-05 Las Heras Airport, Argentina
2.61415127222e-05 General Enrique Mosconi Airport, Argentina
2.61415127222e-05 Cuyo Airport, Philippines
2.61415127222e-05 Mokpo Airport, South Korea
2.61415127222e-05 Hengchun Airport, Taiwan
2.61415127222e-05 Matsu Nangan Airport, Taiwan
2.61415127222e-05 Kalaupapa Airport, United States
2.61415127222e-05 Wipim Airport, Papua New Guinea
2.61415127222e-05 Suki Airport, Papua New Guinea
2.61415127222e-05 Kamusi Airport, Papua New Guinea
2.61415127222e-05 Kokoda Airport, Papua New Guinea
2.61415127222e-05 Kandrian Airport, Papua New Guinea
2.61415127222e-05 Nissan Island Airport, Papua New Guinea
2.61415127222e-05 Gasmata Island Airport, Papua New Guinea
2.61415127222e-05 Ormara Airport, Pakistan
2.61415127222e-05 Khuzdar Airport, Pakistan
2.61415127222e-05 Hyderabad Airport, Pakistan
2.61415127222e-05 Jiwani Airport, Pakistan
2.61415127222e-05 Bannu Airport, Pakistan
2.61415127222e-05 Rafsanjan Airport, Iran
2.61415127222e-05 Saul Airport, French Guiana
2.61415127222e-05 Faizabad Airport, Afghanistan
2.61415127222e-05 Redcliffe Airport, Vanuatu
2.61415127222e-05 Naone Airport, Vanuatu
2.61415127222e-05 Apataki Airport, French Polynesia
2.61415127222e-05 Maota Airport, Samoa
2.61415127222e-05 Niue International Airport, Niue
2.61415127222e-05 Kuini Lavenia Airport, Tonga
2.61415127222e-05 Lifuka Island Airport, Tonga
2.61415127222e-05 Kaufana Airport, Tonga
2.61415127222e-05 Koro Island Airport, Fiji
2.61415127222e-05 Ngau Airport, Fiji
2.61415127222e-05 Moala Airport, Fiji
2.61415127222e-05 Malolo Lailai Island Airport, Fiji
2.61415127222e-05 Penrhyn Island Airport, Cook Islands
2.61415127222e-05 Nassau Paradise Island Airport, Bahamas
2.61415127222e-05 Arthurs Town Airport, Bahamas
2.61415127222e-05 Congo Town Airport, Bahamas
2.61415127222e-05 Salina Cruz Naval Air Station, Mexico
2.61415127222e-05 Jeremie Airport, Haiti
2.61415127222e-05 Playa Samara Airport, Costa Rica
2.61415127222e-05 Barra del Colorado Airport, Costa Rica
2.61415127222e-05 Captain Ramon Xatruch Airport, Panama
2.61415127222e-05 Enrique Adolfo Jimenez Airport, Panama
2.61415127222e-05 Alonso Valderrama Airport, Panama
2.61415127222e-05 Guerrero Negro Airport, Mexico
2.61415127222e-05 Ciudad Constitución Airport, Mexico
2.61415127222e-05 Mili Island Airport, Marshall Islands
2.61415127222e-05 Wotho Island Airport, Marshall Islands
2.61415127222e-05 Wotje Atoll Airport, Marshall Islands
2.61415127222e-05 Woja Airport, Marshall Islands
2.61415127222e-05 Jaluit Airport, Marshall Islands
2.61415127222e-05 Namorik Atoll Airport, Marshall Islands
2.61415127222e-05 Majkin Airport, Marshall Islands
2.61415127222e-05 Mejit Atoll Airport, Marshall Islands
2.61415127222e-05 Likiep Airport, Marshall Islands
2.61415127222e-05 Kaben Airport, Marshall Islands
2.61415127222e-05 Jeh Airport, Marshall Islands
2.61415127222e-05 Jabot Airport, Marshall Islands
2.61415127222e-05 Ailuk Airport, Marshall Islands
2.61415127222e-05 Utirik Airport, Marshall Islands
2.61415127222e-05 Quezaltenango Airport, Guatemala
2.61415127222e-05 Puerto Barrios Airport, Guatemala
2.61415127222e-05 Dr Joaquin Balaguer International Airport, Dominican Republic
2.61415127222e-05 Middle Caicos Airport, Turks and Caicos Islands
2.61415127222e-05 Žilina Airport, Slovakia
2.61415127222e-05 Samsun-Çarşamba Airport, Turkey
2.61415127222e-05 Sanliurfa Airport, Turkey
2.61415127222e-05 Usak Airport, Turkey
2.61415127222e-05 Pécs-Pogány Airport, Hungary
2.61415127222e-05 EuroAirport, France
2.61415127222e-05 Île d'Yeu Airport, France
2.61415127222e-05 Reading Regional Carl A Spaatz Field, United States
2.61415127222e-05 Pease International Tradeport, United States
2.61415127222e-05 Kili Airport, Marshall Islands
2.61415127222e-05 Alamogordo White Sands Regional Airport, United States
2.61415127222e-05 San Domino Island Heliport, Italy
2.61415127222e-05 Shinyanga Airport, Tanzania
2.61415127222e-05 Kikwetu Airport, Tanzania
2.61415127222e-05 Kigoma Airport, Tanzania
2.61415127222e-05 Bukoba Airport, Tanzania
2.61415127222e-05 Atbara Airport, Sudan
2.61415127222e-05 Burao Airport, Somalia
2.61415127222e-05 Alula Airport, Somalia
2.61415127222e-05 Tippi Airport, Ethiopia
2.61415127222e-05 Mizan Teferi Airport, Ethiopia
2.61415127222e-05 Gore Airport, Ethiopia
2.61415127222e-05 Combolcha Airport, Ethiopia
2.61415127222e-05 Baco Airport, Ethiopia
2.61415127222e-05 Groennedal Heliport, Greenland
2.61415127222e-05 Kenema Airport, Sierra Leone
2.61415127222e-05 Bo Airport, Sierra Leone
2.61415127222e-05 Sherbro International Airport, Sierra Leone
2.61415127222e-05 Ceuta Heliport, Spain
2.61415127222e-05 Papa Stour Airport, United Kingdom
2.61415127222e-05 Foula Airport, United Kingdom
2.61415127222e-05 Gamba, Gabon
2.61415127222e-05 Basankusu Airport, Congo (Kinshasa)
2.61415127222e-05 Basango Mboliasa Airport, Congo (Kinshasa)
2.61415127222e-05 Nioki Airport, Congo (Kinshasa)
2.61415127222e-05 Inongo Airport, Congo (Kinshasa)
2.61415127222e-05 Tshimpi Airport, Congo (Kinshasa)
2.61415127222e-05 Boma Airport, Congo (Kinshasa)
2.61415127222e-05 Swakopmund Airport, Namibia
2.61415127222e-05 Club Makokola Airport, Malawi
2.61415127222e-05 Croisette Heliport, France
2.61415127222e-05 Tchibanga Airport, Gabon
2.61415127222e-05 Mouilla Ville Airport, Gabon
2.61415127222e-05 Koulamoutou Airport, Gabon
2.61415127222e-05 Namibe Airport, Angola
2.61415127222e-05 Dundo Airport, Angola
2.61415127222e-05 Manja Airport, Madagascar
2.61415127222e-05 Mandritsara Airport, Madagascar
2.61415127222e-05 Tsaratanana Airport, Madagascar
2.61415127222e-05 Soalala Airport, Madagascar
2.61415127222e-05 Ambanja Airport, Madagascar
2.61415127222e-05 Port Bergé Airport, Madagascar
2.61415127222e-05 Ambatondrazaka Airport, Madagascar
2.61415127222e-05 Tsiroanomandidy Airport, Madagascar
2.61415127222e-05 Tambohorano Airport, Madagascar
2.61415127222e-05 Maintirano Airport, Madagascar
2.61415127222e-05 Ankavandra Airport, Madagascar
2.61415127222e-05 Antsalova Airport, Madagascar
2.61415127222e-05 Iconi Airport, Comoros
2.61415127222e-05 Limpopo Valley Airport, Botswana
2.61415127222e-05 Shakawe Airport, Botswana
2.61415127222e-05 Orapa Airport, Botswana
2.61415127222e-05 Malamala Airport, South Africa
2.61415127222e-05 Rand Airport, South Africa
2.61415127222e-05 Storuman Airport, Sweden
2.61415127222e-05 Torsby Airport, Sweden
2.61415127222e-05 Hagfors Airport, Sweden
2.61415127222e-05 Værøy Heliport, Norway
2.61415127222e-05 Anglesey Airport, United Kingdom
2.61415127222e-05 Penzance Heliport, United Kingdom
2.61415127222e-05 Lerwick / Tingwall Airport, United Kingdom
2.61415127222e-05 Nottingham Airport, United Kingdom
2.61415127222e-05 Helgoland-Düne Airport, Germany
2.61415127222e-05 Heide-Büsum Airport, Germany
2.61415127222e-05 Wollaston Lake Airport, Canada
2.61415127222e-05 Shamattawa Airport, Canada
2.61415127222e-05 Swan River Airport, Canada
2.61415127222e-05 Fond-Du-Lac Airport, Canada
2.61415127222e-05 Oxford House Airport, Canada
2.61415127222e-05 Points North Landing Airport, Canada
2.61415127222e-05 Norway House Airport, Canada
2.61415127222e-05 Vancouver Harbour Water Airport, Canada
2.61415127222e-05 Gods Lake Narrows Airport, Canada
2.61415127222e-05 Cartwright Airport, Canada
2.61415127222e-05 Vopnafjörður Airport, Iceland
2.61415127222e-05 Qeqertarsuaq Heliport, Greenland
2.61415127222e-05 Kerema Airport, Papua New Guinea
2.61415127222e-05 Chimbu Airport, Papua New Guinea
2.61415127222e-05 Mono Airport, Solomon Islands
2.61415127222e-05 Nusatupe Airport, Solomon Islands
2.61415127222e-05 Babanakira Airport, Solomon Islands
2.61415127222e-05 Komsomolsk-on-Amur Airport, Russia
2.61415127222e-05 Moyo Airport, Uganda
2.61415127222e-05 Union Island International Airport, Saint Vincent and the Grenadines
2.61415127222e-05 J F Mitchell Airport, Saint Vincent and the Grenadines
2.61415127222e-05 Baillif Airport, Guadeloupe
2.61415127222e-05 El Jaguel / Punta del Este Airport, Uruguay
2.61415127222e-05 La Jagua Airport, Colombia
2.61415127222e-05 Ricardo García Posada Airport, Chile
2.61415127222e-05 Necochea Airport, Argentina
2.61415127222e-05 San Fernando Airport, Philippines
2.61415127222e-05 Okhotsk Airport, Russia
2.61415127222e-05 Ujae Atoll Airport, Marshall Islands
2.61415127222e-05 Mariupol International Airport, Ukraine
2.61415127222e-05 Rivne International Airport, Ukraine
2.61415127222e-05 Amderma Airport, Russia
2.61415127222e-05 Kyzyl Airport, Russia
2.61415127222e-05 Khatanga Airport, Russia
2.61415127222e-05 Nalchik Airport, Russia
2.61415127222e-05 Aleknagik Airport, United States
2.61415127222e-05 Brookings Regional Airport, United States
2.61415127222e-05 Mercer County Airport, United States
2.61415127222e-05 Laughlin-Bullhead Intl, United States
2.61415127222e-05 Nyagan Airport, Russia
2.61415127222e-05 Nefteyugansk Airport, Russia
2.61415127222e-05 Kurgan Airport, Russia
2.61415127222e-05 Kursk East Airport, Russia
2.61415127222e-05 Lipetsk Airport, Russia
2.61415127222e-05 Yoshkar-Ola Airport, Russia
2.61415127222e-05 Balakovo Airport, Russia
2.61415127222e-05 Koggala Airport, Sri Lanka
2.61415127222e-05 Wirawila Airport, Sri Lanka
2.61415127222e-05 Tezpur Airport, India
2.61415127222e-05 Ban Huoeisay Airport, Laos
2.61415127222e-05 Kontum Airport, Vietnam
2.61415127222e-05 Meghauli Airport, Nepal
2.61415127222e-05 Loikaw Airport, Burma
2.61415127222e-05 Mawlamyine Airport, Burma
2.61415127222e-05 Pakhokku Airport, Burma
2.61415127222e-05 Sumbawa Besar Airport, Indonesia
2.61415127222e-05 Bokondini Airport, Indonesia
2.61415127222e-05 Sampit(Hasan) Airport, Indonesia
2.61415127222e-05 Belaga Airport, Malaysia
2.61415127222e-05 Tomanggong Airport, Malaysia
2.61415127222e-05 Susilo Airport, Indonesia
2.61415127222e-05 Long Bawan Airport, Indonesia
2.61415127222e-05 Nunukan Airport, Indonesia
2.61415127222e-05 Argyle Airport, Australia
2.61415127222e-05 Bourke Airport, Australia
2.61415127222e-05 Blackwater Airport, Australia
2.61415127222e-05 Carnarvon Airport, Australia
2.61415127222e-05 Darnley Island Airport, Australia
2.61415127222e-05 Hooker Creek Airport, Australia
2.61415127222e-05 Karumba Airport, Australia
2.61415127222e-05 Kubin Airport, Australia
2.61415127222e-05 Lightning Ridge Airport, Australia
2.61415127222e-05 Leinster Airport, Australia
2.61415127222e-05 Laverton Airport, Australia
2.61415127222e-05 Meekatharra Airport, Australia
2.61415127222e-05 Murray Island Airport, Australia
2.61415127222e-05 Ramingining Airport, Australia
2.61415127222e-05 Shark Bay Airport, Australia
2.61415127222e-05 Saibai Island Airport, Australia
2.61415127222e-05 Strahan Airport, Australia
2.61415127222e-05 Tennant Creek Airport, Australia
2.61415127222e-05 Victoria River Downs Airport, Australia
2.61415127222e-05 Warraber Island Airport, Australia
2.61415127222e-05 Wiluna Airport, Australia
2.61415127222e-05 Wollongong Airport, Australia
2.61415127222e-05 Yam Island Airport, Australia
2.61415127222e-05 Hanzhong Airport, China
2.61415127222e-05 Arvaikheer Airport, Mongolia
2.61415127222e-05 Qiemo Airport, China
2.61415127222e-05 Mount Keith, Australia
2.61415127222e-05 Gran Roque Airport, Venezuela
2.61415127222e-05 Connemara Regional Airport, Ireland
2.61415127222e-05 Guettin MecklenburgVorpommern Germany, Germany
2.61415127222e-05 Berezovo, Russia
2.61415127222e-05 Worcester Regional Airport, United States
2.61415127222e-05 New Haven Rail Station, United States
2.61415127222e-05 Doha Free Zone Airport, Qatar
2.61415127222e-05 Jefferson City Memorial Airport, United States
2.61415127222e-05 Magas, Russia
2.61415127222e-05 Sukhumi Dranda, Georgia
2.61415127222e-05 Courchevel Airport, France
2.61415127222e-05 Fullerton Municipal Airport, United States
2.61415127222e-05 Fort William Heliport, United Kingdom
2.61415127222e-05 La Defense Heliport, France
2.61415127222e-05 Ronda Airport, Spain
2.61415127222e-05 Portsmouth Airport, United Kingdom
2.61415127222e-05 Ringi Cove Airport, Solomon Islands
2.61415127222e-05 Antonio Juarbe Pol Airport, Puerto Rico
2.61415127222e-05 Wittman Regional Airport, United States
2.61415127222e-05 Ternopol, Ukraine
2.61415127222e-05 Chernigov, Ukraine
2.61415127222e-05 Lutsk, Ukraine
2.61415127222e-05 Southwest Michigan Regional Airport, United States
2.61415127222e-05 Waukesha County Airport, United States
2.61415127222e-05 Nowra Airport, Australia
2.61415127222e-05 Tindal Airport, Australia
2.61415127222e-05 Galt Field Airport, United States
2.61415127222e-05 Everglades Airpark, United States
2.61415127222e-05 Marinduque Airport, Philippines
2.61415127222e-05 Yenisehir Airport, Turkey
2.61415127222e-05 Canakkale Airport, Turkey
2.61415127222e-05 New Stuyahok Airport, United States
2.61415127222e-05 Shimla Airport, India
2.61415127222e-05 Romblon Airport, Philippines
2.61415127222e-05 Port Clarence Coast Guard Station, United States
2.61415127222e-05 Ormoc Airport, Philippines
2.61415127222e-05 Naypyidaw, Burma
2.61415127222e-05 Jan Mayensfield, Norway
2.61415127222e-05 Huanghua Intl, China
2.61415127222e-05 Penn Station, United States
2.61415127222e-05 Penn Station, United States
2.61415127222e-05 Niau, French Polynesia
2.61415127222e-05 Langeoog Airport, Germany
2.61415127222e-05 Fane Airport, Papua New Guinea
2.61415127222e-05 Itokama Airport, Papua New Guinea
2.61415127222e-05 Ononge Airport, Papua New Guinea
2.61415127222e-05 Wanigela Airport, Papua New Guinea
2.61415127222e-05 Woitape Airport, Papua New Guinea
2.61415127222e-05 Awaba Airport, Papua New Guinea
2.61415127222e-05 Telefomin Airport, Papua New Guinea
2.61415127222e-05 St. Augustine Airport, United States
2.61415127222e-05 Ramechhap, Nepal
2.61415127222e-05 Kissimmee Gateway Airport, United States
2.61415127222e-05 Lake City Municipal Airport, United States
2.61415127222e-05 Brigham City, United States
2.61415127222e-05 Malad City, United States
2.61415127222e-05 Sabi Sabi Airport, South Africa
2.61415127222e-05 Philadelphia 30th St Station, United States
2.61415127222e-05 Sussex Co, United States
2.61415127222e-05 Seal Cove Seaplane Base, Canada
2.61415127222e-05 Great Bend Municipal, United States
2.61415127222e-05 Spirit Of St Louis, United States
2.61415127222e-05 Ely Municipal, United States
2.61415127222e-05 Eagle River, United States
2.61415127222e-05 Lakeland, United States
2.61415127222e-05 Avalon, United States
2.61415127222e-05 Inisheer, Ireland
2.61415127222e-05 Hutchinson Municipal Airport, United States
2.61415127222e-05 Bagram AFB, Afghanistan
2.61415127222e-05 Eagle County Airport, United States
2.61415127222e-05 Rosecrans Mem, United States
2.61415127222e-05 Hartford Union Station, United States
2.61415127222e-05 Volk Fld, United States
2.61415127222e-05 BFT County Airport, United States
2.61415127222e-05 Xi\\'An Xiguan, China
2.61415127222e-05 Zamperini Field Airport, United States
2.61415127222e-05 Lake Cumberland Regional Airport, United States
2.61415127222e-05 Florida Keys Marathon Airport, United States
2.61415127222e-05 Sierra Blanca Regional Airport, United States
2.61415127222e-05 McCall Municipal Airport, United States
2.61415127222e-05 Anacortes Airport, United States
2.61415127222e-05 Newport Municipal Airport, United States
2.61415127222e-05 Koliganek Airport, United States
2.61415127222e-05 Manokotak Airport, United States
2.61415127222e-05 Twin Hills Airport, United States
2.61415127222e-05 Eagle Airport, United States
2.61415127222e-05 Livingood Airport, United States
2.61415127222e-05 Laguna de Los Patos International Airport, Uruguay
2.61415127222e-05 Chatham Seaplane Base, United States
2.61415127222e-05 Funter Bay Seaplane Base, United States
2.61415127222e-05 Hyder Seaplane Base, United States
2.61415127222e-05 Chignik Lagoon Airport, United States
2.61415127222e-05 Chignik Bay Seaplane Base, United States
2.61415127222e-05 Moser Bay Seaplane Base, United States
2.61415127222e-05 Olga Bay Seaplane Base, United States
2.61415127222e-05 Port Williams Seaplane Base, United States
2.61415127222e-05 San Juan - Uganik Seaplane Base, United States
2.61415127222e-05 West Point Village Seaplane Base, United States
2.61415127222e-05 Council Airport, United States
2.61415127222e-05 Icy Bay Airport, United States
2.61415127222e-05 Yakataga Airport, United States
2.61415127222e-05 Nondalton Airport, United States
2.61415127222e-05 Pedro Bay Airport, United States
2.61415127222e-05 Rincon de los Sauces, Argentina
2.61415127222e-05 Rio Turbio, Argentina
2.61415127222e-05 Puerto Natales, Chile
2.61415127222e-05 Caleta Olivia, Argentina
2.61415127222e-05 Sierra Grande, Argentina
2.61415127222e-05 El Chalten, Argentina
2.61415127222e-05 Chenega Bay Airport, United States
2.61415127222e-05 Chisana Airport, United States
2.61415127222e-05 Tok Junction Airport, United States
2.61415127222e-05 Tatitlek Airport, United States
2.61415127222e-05 Lac Brochet Airport, Canada
2.61415127222e-05 South Indian Lake Airport, Canada
2.61415127222e-05 Brochet Airport, Canada
2.61415127222e-05 Little Grand Rapids Airport, Canada
2.61415127222e-05 Red Sucker Lake Airport, Canada
2.61415127222e-05 Qualicum Beach Airport, Canada
2.61415127222e-05 Sechelt Aerodrome, Canada
2.61415127222e-05 Big Creek Airport, Belize
2.61415127222e-05 Placencia Airport, Belize
2.61415127222e-05 Sartaneja Airport, Belize
2.61415127222e-05 Corn Island Airport, Nicaragua
2.61415127222e-05 Bonanza Airport, Nicaragua
2.61415127222e-05 Rosita Airport, Nicaragua
2.61415127222e-05 Siuna Airport, Nicaragua
2.61415127222e-05 Waspam Airport, Nicaragua
2.61415127222e-05 Fussen, Germany
2.61415127222e-05 Negril Aerodrome, Jamaica
2.61415127222e-05 Fliegerhost , Germany
2.61415127222e-05 Munich Railway, Germany
2.61415127222e-05 Nuernberg Railway, Germany
2.61415127222e-05 Alto Rio Senguer Airport, Argentina
2.61415127222e-05 Jose de San Martin Airport, Argentina
2.61415127222e-05 Essen Railway, Germany
2.61415127222e-05 Djoemoe Airstrip, Suriname
2.61415127222e-05 Majoor Henry Fernandes Airport, Suriname
2.61415127222e-05 Vincent Fayks Airport, Suriname
2.61415127222e-05 Totness Airstrip, Suriname
2.61415127222e-05 Wageningen Airstrip, Suriname
2.61415127222e-05 Orinduik Airport, Guyana
2.61415127222e-05 Annai Airport, Guyana
2.61415127222e-05 Kamarang Airport, Guyana
2.61415127222e-05 Dr. Augusto Roberto Fuster International Airport, Paraguay
2.61415127222e-05 Alcides Fernandez Airport, Colombia
2.61415127222e-05 El Bagre Airport, Colombia
2.61415127222e-05 Juan H. White, Colombia
2.61415127222e-05 Mandinga Airport, Colombia
2.61415127222e-05 Golfo de Morrosquillo Airport, Colombia
2.61415127222e-05 Soure Airport, Brazil
2.61415127222e-05 Confresa Airport, Brazil
2.61415127222e-05 Novo Aripuana Airport, Brazil
2.61415127222e-05 Bom Futuro Airport, Brazil
2.61415127222e-05 Franca Airport, Brazil
2.61415127222e-05 Tsletsi Airport, Algeria
2.61415127222e-05 Am Timan Airport, Chad
2.61415127222e-05 Sharq Al-Owainat Airport, Egypt
2.61415127222e-05 Eastern WV Regional Airport, United States
2.61415127222e-05 Debre Marqos, Ethiopia
2.61415127222e-05 Debre Tabor Airport, Ethiopia
2.61415127222e-05 Harar Meda Airport, Ethiopia
2.61415127222e-05 Robe Airport, Ethiopia
2.61415127222e-05 Mayumba Airport, Gabon
2.61415127222e-05 Rumbek Airport, Sudan
2.61415127222e-05 Cape Palmas Airport, Liberia
2.61415127222e-05 Ambatomainty Airport, Madagascar
2.61415127222e-05 Kyoto, Japan
2.61415127222e-05 Benguera Island Airport, Mozambique
2.61415127222e-05 Ouro Sogui Airport, Senegal
2.61415127222e-05 Bird Island Airport, Seychelles
2.61415127222e-05 Wadi Halfa Airport, Sudan
2.61415127222e-05 Pakuba Airport, Uganda
2.61415127222e-05 Huizhou, China
2.61415127222e-05 Aeropuerto Capitan Fuentes Martinez, Chile
2.61415127222e-05 Central Railway Station, Canada
2.61415127222e-05 Union Station, Canada
2.61415127222e-05 Bildudalur Airport, Iceland
2.61415127222e-05 Saudarkrokur, Iceland
2.61415127222e-05 Lille, France
2.61415127222e-05 Vologda Airport, Russia
2.61415127222e-05 Ciudad Real Central Airport, Spain
2.61415127222e-05 Coll Airport, United Kingdom
2.61415127222e-05 Rock Hill York Co Bryant Airport, United States
2.61415127222e-05 Allegheny County Airport, United States
2.61415127222e-05 Tresco Heliport, United Kingdom
2.61415127222e-05 Tarin Kowt Airport, Afghanistan
2.61415127222e-05 Chaghcharan Airport, Afghanistan
2.61415127222e-05 Ocean Isle Beach Airport, United States
2.61415127222e-05 Ohio State University Airport, United States
2.61415127222e-05 Fort Jefferson, United States
2.61415127222e-05 Chernobayevka Airport, Ukraine
2.61415127222e-05 Ryans Creek Aerodrome, New Zealand
2.61415127222e-05 Yarmouth Airport, Canada
2.61415127222e-05 Kinston Regional Jetport, United States
2.61415127222e-05 Latur Airport, India
2.61415127222e-05 Mainz Finthen, Germany
2.61415127222e-05 Mainz, Germany
2.61415127222e-05 Berlin Gatow, Germany
2.61415127222e-05 Rheine Bentlage, Germany
2.61415127222e-05 Tajima Airport, Japan
2.61415127222e-05 Amakusa Airfield, Japan
2.61415127222e-05 Aguni Airport, Japan
2.61415127222e-05 Haeju Airport, North Korea
2.61415127222e-05 Layang Layang Airport, Malaysia
2.61415127222e-05 Bulgan Airport, Mongolia
2.61415127222e-05 Borongan Airport, Philippines
2.61415127222e-05 Lubang Community Airport, Philippines
2.61415127222e-05 Bentota Airport, Sri Lanka
2.61415127222e-05 Dickwella Airport, Sri Lanka
2.61415127222e-05 Dasoguz Airport, Turkmenistan
2.61415127222e-05 Barrow Island Airport, Australia
2.61415127222e-05 Morawa Airport, Australia
2.61415127222e-05 Derby Airport, Australia
2.61415127222e-05 Walgett Airport, Australia
2.61415127222e-05 Bathurst Island Airport, Australia
2.61415127222e-05 Dunk Island Airport, Australia
2.61415127222e-05 Lizard Island Airport, Australia
2.61415127222e-05 Halls Creek Airport, Australia
2.61415127222e-05 Fitzroy Crossing Airport, Australia
2.61415127222e-05 Steamboat Springs Airport-Bob Adams Field, United States
2.61415127222e-05 Delta Municipal Airport, United States
2.61415127222e-05 Carbon County Regional-Buck Davis Field, United States
2.61415127222e-05 Winslow-Lindbergh Regional Airport, United States
2.61415127222e-05 Douglas Municipal Airport, United States
2.61415127222e-05 Marakei Airport, Kiribati
2.61415127222e-05 Abemama Atoll Airport, Kiribati
2.61415127222e-05 Aranuka Airport, Kiribati
2.61415127222e-05 Arorae Island Airport, Kiribati
2.61415127222e-05 Tamana Airport, Kiribati
2.61415127222e-05 Beru Island Airport, Kiribati
2.61415127222e-05 Nikunau Airport, Kiribati
2.61415127222e-05 Butaritari Atoll Airport, Kiribati
2.61415127222e-05 Makin Airport, Kiribati
2.61415127222e-05 Nonouti Airport, Kiribati
2.61415127222e-05 Tabiteuea South Airport, Kiribati
2.61415127222e-05 Bosset Airport, Papua New Guinea
2.61415127222e-05 Ine Airport, Marshall Islands
2.61415127222e-05 Elenak Airport, Marshall Islands
2.61415127222e-05 Lae Airport, Marshall Islands
2.61415127222e-05 Enejit Airport, Marshall Islands
2.61415127222e-05 Yandina Airport, Solomon Islands
